Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-74.5641,"-6.00000 -5.60000 0.90000, -9.85000 -7.85000 0.10000"
2,0.0000,Tx-Rx,0,-75.1278,"-6.00000 -5.60000 0.90000, -9.55000 -7.85000 0.10000"
3,0.0000,Tx-Rx,0,-74.1586,"-6.00000 -5.60000 0.90000, -9.25000 -7.85000 0.10000"
4,0.0000,Tx-Rx,0,-77.3797,"-6.00000 -5.60000 0.90000, -8.95000 -7.85000 0.10000"
5,0.0000,Tx-Rx,0,-82.4078,"-6.00000 -5.60000 0.90000, -8.65000 -7.85000 0.10000"
6,0.0000,Tx-Rx,0,-96.4269,"-6.00000 -5.60000 0.90000, -8.35000 -7.85000 0.10000"
7,0.0000,Tx-Rx,0,-71.5301,"-6.00000 -5.60000 0.90000, -8.05000 -7.85000 0.10000"
8,0.0000,Tx-Rx,0,-68.9209,"-6.00000 -5.60000 0.90000, -7.75000 -7.85000 0.10000"
9,0.0000,Tx-Rx,0,-65.6065,"-6.00000 -5.60000 0.90000, -7.45000 -7.85000 0.10000"
10,0.0000,Tx-Rx,0,-62.8140,"-6.00000 -5.60000 0.90000, -7.15000 -7.85000 0.10000"
11,0.0000,Tx-Rx,0,-63.9548,"-6.00000 -5.60000 0.90000, -6.85000 -7.85000 0.10000"
12,0.0000,Tx-Rx,0,-63.9226,"-6.00000 -5.60000 0.90000, -6.55000 -7.85000 0.10000"
13,0.0000,Tx-Rx,0,-61.9692,"-6.00000 -5.60000 0.90000, -6.25000 -7.85000 0.10000"
14,0.0000,Tx-Rx,0,-54.5841,"-6.00000 -5.60000 0.90000, -5.95000 -7.85000 0.10000"
15,0.0000,Tx-Rx,0,-46.0908,"-6.00000 -5.60000 0.90000, -5.65000 -7.85000 0.10000"
16,0.0000,Tx-Rx,0,-46.7630,"-6.00000 -5.60000 0.90000, -5.35000 -7.85000 0.10000"
17,0.0000,Tx-Rx,0,-49.4765,"-6.00000 -5.60000 0.90000, -5.05000 -7.85000 0.10000"
18,0.0000,Tx-Rx,0,-46.2967,"-6.00000 -5.60000 0.90000, -4.75000 -7.85000 0.10000"
19,0.0000,Tx-Rx,0,-46.4173,"-6.00000 -5.60000 0.90000, -4.45000 -7.85000 0.10000"
20,0.0000,Tx-Rx,0,-46.8747,"-6.00000 -5.60000 0.90000, -4.15000 -7.85000 0.10000"
21,0.0000,Tx-Rx,0,-47.2269,"-6.00000 -5.60000 0.90000, -3.85000 -7.85000 0.10000"
22,0.0000,Tx-Rx,0,-47.6627,"-6.00000 -5.60000 0.90000, -3.55000 -7.85000 0.10000"
23,0.0000,Tx-Rx,0,-48.0706,"-6.00000 -5.60000 0.90000, -3.25000 -7.85000 0.10000"
24,0.0000,Tx-Rx,0,-48.5643,"-6.00000 -5.60000 0.90000, -2.95000 -7.85000 0.10000"
25,0.0000,Tx-Rx,0,-49.0681,"-6.00000 -5.60000 0.90000, -2.65000 -7.85000 0.10000"
26,0.0000,Tx-Rx,0,-49.5283,"-6.00000 -5.60000 0.90000, -2.35000 -7.85000 0.10000"
27,0.0000,Tx-Rx,0,-49.8310,"-6.00000 -5.60000 0.90000, -2.05000 -7.85000 0.10000"
28,0.0000,Tx-Rx,0,-50.9875,"-6.00000 -5.60000 0.90000, -1.75000 -7.85000 0.10000"
29,0.0000,Tx-Rx,0,-52.6785,"-6.00000 -5.60000 0.90000, -1.45000 -7.85000 0.10000"
30,0.0000,Tx-Rx,0,-52.5143,"-6.00000 -5.60000 0.90000, -1.15000 -7.85000 0.10000"
31,0.0000,Tx-Rx,0,-52.5127,"-6.00000 -5.60000 0.90000, -0.85000 -7.85000 0.10000"
32,0.0000,Tx-Rx,0,-52.3137,"-6.00000 -5.60000 0.90000, -0.55000 -7.85000 0.10000"
33,0.0000,Tx-Rx,0,-49.2436,"-6.00000 -5.60000 0.90000, -0.25000 -7.85000 0.10000"
34,0.0000,Tx-Rx,0,-54.0284,"-6.00000 -5.60000 0.90000, 0.05000 -7.85000 0.10000"
35,0.0000,Tx-Rx,0,-76.3977,"-6.00000 -5.60000 0.90000, 0.35000 -7.85000 0.10000"
36,0.0000,Tx-Rx,0,-75.7642,"-6.00000 -5.60000 0.90000, 0.65000 -7.85000 0.10000"
37,0.0000,Tx-Rx,0,-75.2854,"-6.00000 -5.60000 0.90000, 0.95000 -7.85000 0.10000"
38,0.0000,Tx-Rx,0,-76.9101,"-6.00000 -5.60000 0.90000, 1.25000 -7.85000 0.10000"
39,0.0000,Tx-Rx,0,-76.2650,"-6.00000 -5.60000 0.90000, 1.55000 -7.85000 0.10000"
40,0.0000,Tx-Rx,0,-75.9314,"-6.00000 -5.60000 0.90000, 1.85000 -7.85000 0.10000"
41,0.0000,Tx-Rx,0,-75.7916,"-6.00000 -5.60000 0.90000, 2.15000 -7.85000 0.10000"
42,0.0000,Tx-Rx,0,-75.2945,"-6.00000 -5.60000 0.90000, 2.45000 -7.85000 0.10000"
43,0.0000,Tx-Rx,0,-83.4529,"-6.00000 -5.60000 0.90000, 2.75000 -7.85000 0.10000"
44,0.0000,Tx-Rx,0,-83.6524,"-6.00000 -5.60000 0.90000, 3.05000 -7.85000 0.10000"
45,0.0000,Tx-Rx,0,-85.2377,"-6.00000 -5.60000 0.90000, 3.35000 -7.85000 0.10000"
46,0.0000,Tx-Rx,0,-86.0551,"-6.00000 -5.60000 0.90000, 3.65000 -7.85000 0.10000"
47,0.0000,Tx-Rx,0,-82.5800,"-6.00000 -5.60000 0.90000, 3.95000 -7.85000 0.10000"
48,0.0000,Tx-Rx,0,-80.8755,"-6.00000 -5.60000 0.90000, 4.25000 -7.85000 0.10000"
49,0.0000,Tx-Rx,0,-87.6351,"-6.00000 -5.60000 0.90000, 4.55000 -7.85000 0.10000"
50,0.0000,Tx-Rx,0,-83.6850,"-6.00000 -5.60000 0.90000, 4.85000 -7.85000 0.10000"
51,0.0000,Tx-Rx,0,-82.6223,"-6.00000 -5.60000 0.90000, 5.15000 -7.85000 0.10000"
52,0.0000,Tx-Rx,0,-79.9810,"-6.00000 -5.60000 0.90000, 5.45000 -7.85000 0.10000"
53,0.0000,Tx-Rx,0,-78.1225,"-6.00000 -5.60000 0.90000, 5.75000 -7.85000 0.10000"
54,0.0000,Tx-Rx,0,-80.6240,"-6.00000 -5.60000 0.90000, 6.05000 -7.85000 0.10000"
55,0.0000,Tx-Rx,0,-77.7804,"-6.00000 -5.60000 0.90000, 6.35000 -7.85000 0.10000"
56,0.0000,Tx-Rx,0,-77.8994,"-6.00000 -5.60000 0.90000, 6.65000 -7.85000 0.10000"
57,0.0000,Tx-Rx,0,-79.1004,"-6.00000 -5.60000 0.90000, 6.95000 -7.85000 0.10000"
58,0.0000,Tx-Rx,0,-77.7166,"-6.00000 -5.60000 0.90000, 7.25000 -7.85000 0.10000"
59,0.0000,Tx-Rx,0,-78.9711,"-6.00000 -5.60000 0.90000, 7.55000 -7.85000 0.10000"
60,0.0000,Tx-Rx,0,-76.3753,"-6.00000 -5.60000 0.90000, 7.85000 -7.85000 0.10000"
61,0.0000,Tx-Rx,0,-74.4961,"-6.00000 -5.60000 0.90000, -9.85000 -7.55000 0.10000"
62,0.0000,Tx-Rx,0,-73.9816,"-6.00000 -5.60000 0.90000, -9.55000 -7.55000 0.10000"
63,0.0000,Tx-Rx,0,-74.3046,"-6.00000 -5.60000 0.90000, -9.25000 -7.55000 0.10000"
64,0.0000,Tx-Rx,0,-79.3895,"-6.00000 -5.60000 0.90000, -8.95000 -7.55000 0.10000"
65,0.0000,Tx-Rx,0,-78.0316,"-6.00000 -5.60000 0.90000, -8.65000 -7.55000 0.10000"
66,0.0000,Tx-Rx,0,-80.5790,"-6.00000 -5.60000 0.90000, -8.35000 -7.55000 0.10000"
67,0.0000,Tx-Rx,0,-71.1555,"-6.00000 -5.60000 0.90000, -8.05000 -7.55000 0.10000"
68,0.0000,Tx-Rx,0,-64.3803,"-6.00000 -5.60000 0.90000, -7.75000 -7.55000 0.10000"
69,0.0000,Tx-Rx,0,-64.7118,"-6.00000 -5.60000 0.90000, -7.45000 -7.55000 0.10000"
70,0.0000,Tx-Rx,0,-62.8670,"-6.00000 -5.60000 0.90000, -7.15000 -7.55000 0.10000"
71,0.0000,Tx-Rx,0,-61.4548,"-6.00000 -5.60000 0.90000, -6.85000 -7.55000 0.10000"
72,0.0000,Tx-Rx,0,-60.8298,"-6.00000 -5.60000 0.90000, -6.55000 -7.55000 0.10000"
73,0.0000,Tx-Rx,0,-56.3182,"-6.00000 -5.60000 0.90000, -6.25000 -7.55000 0.10000"
74,0.0000,Tx-Rx,0,-53.4654,"-6.00000 -5.60000 0.90000, -5.95000 -7.55000 0.10000"
75,0.0000,Tx-Rx,0,-45.0565,"-6.00000 -5.60000 0.90000, -5.65000 -7.55000 0.10000"
76,0.0000,Tx-Rx,0,-44.6069,"-6.00000 -5.60000 0.90000, -5.35000 -7.55000 0.10000"
77,0.0000,Tx-Rx,0,-45.1607,"-6.00000 -5.60000 0.90000, -5.05000 -7.55000 0.10000"
78,0.0000,Tx-Rx,0,-45.5263,"-6.00000 -5.60000 0.90000, -4.75000 -7.55000 0.10000"
79,0.0000,Tx-Rx,0,-45.7030,"-6.00000 -5.60000 0.90000, -4.45000 -7.55000 0.10000"
80,0.0000,Tx-Rx,0,-46.3161,"-6.00000 -5.60000 0.90000, -4.15000 -7.55000 0.10000"
81,0.0000,Tx-Rx,0,-46.9439,"-6.00000 -5.60000 0.90000, -3.85000 -7.55000 0.10000"
82,0.0000,Tx-Rx,0,-47.3466,"-6.00000 -5.60000 0.90000, -3.55000 -7.55000 0.10000"
83,0.0000,Tx-Rx,0,-47.9477,"-6.00000 -5.60000 0.90000, -3.25000 -7.55000 0.10000"
84,0.0000,Tx-Rx,0,-48.4552,"-6.00000 -5.60000 0.90000, -2.95000 -7.55000 0.10000"
