Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-74.5641,"-6.00000 -5.60000 0.90000, -9.85000 -7.85000 0.10000"
2,0.0000,Tx-Rx,0,-75.1278,"-6.00000 -5.60000 0.90000, -9.55000 -7.85000 0.10000"
3,0.0000,Tx-Rx,0,-74.1586,"-6.00000 -5.60000 0.90000, -9.25000 -7.85000 0.10000"
4,0.0000,Tx-Rx,0,-77.3797,"-6.00000 -5.60000 0.90000, -8.95000 -7.85000 0.10000"
5,0.0000,Tx-Rx,0,-82.3923,"-6.00000 -5.60000 0.90000, -8.65000 -7.85000 0.10000"
6,0.0000,Tx-Rx,0,-96.4269,"-6.00000 -5.60000 0.90000, -8.35000 -7.85000 0.10000"
7,0.0000,Tx-Rx,0,-71.5301,"-6.00000 -5.60000 0.90000, -8.05000 -7.85000 0.10000"
8,0.0000,Tx-Rx,0,-68.9209,"-6.00000 -5.60000 0.90000, -7.75000 -7.85000 0.10000"
9,0.0000,Tx-Rx,0,-65.6065,"-6.00000 -5.60000 0.90000, -7.45000 -7.85000 0.10000"
10,0.0000,Tx-Rx,0,-62.8140,"-6.00000 -5.60000 0.90000, -7.15000 -7.85000 0.10000"
11,0.0000,Tx-Rx,0,-63.9548,"-6.00000 -5.60000 0.90000, -6.85000 -7.85000 0.10000"
12,0.0000,Tx-Rx,0,-63.8696,"-6.00000 -5.60000 0.90000, -6.55000 -7.85000 0.10000"
13,0.0000,Tx-Rx,0,-61.8491,"-6.00000 -5.60000 0.90000, -6.25000 -7.85000 0.10000"
14,0.0000,Tx-Rx,0,-54.2851,"-6.00000 -5.60000 0.90000, -5.95000 -7.85000 0.10000"
15,0.0000,Tx-Rx,0,-46.0198,"-6.00000 -5.60000 0.90000, -5.65000 -7.85000 0.10000"
16,0.0000,Tx-Rx,0,-46.8013,"-6.00000 -5.60000 0.90000, -5.35000 -7.85000 0.10000"
17,0.0000,Tx-Rx,0,-49.4897,"-6.00000 -5.60000 0.90000, -5.05000 -7.85000 0.10000"
18,0.0000,Tx-Rx,0,-46.2966,"-6.00000 -5.60000 0.90000, -4.75000 -7.85000 0.10000"
19,0.0000,Tx-Rx,0,-46.4193,"-6.00000 -5.60000 0.90000, -4.45000 -7.85000 0.10000"
20,0.0000,Tx-Rx,0,-46.8744,"-6.00000 -5.60000 0.90000, -4.15000 -7.85000 0.10000"
21,0.0000,Tx-Rx,0,-47.2207,"-6.00000 -5.60000 0.90000, -3.85000 -7.85000 0.10000"
22,0.0000,Tx-Rx,0,-47.6548,"-6.00000 -5.60000 0.90000, -3.55000 -7.85000 0.10000"
23,0.0000,Tx-Rx,0,-48.0521,"-6.00000 -5.60000 0.90000, -3.25000 -7.85000 0.10000"
24,0.0000,Tx-Rx,0,-48.5420,"-6.00000 -5.60000 0.90000, -2.95000 -7.85000 0.10000"
25,0.0000,Tx-Rx,0,-49.0669,"-6.00000 -5.60000 0.90000, -2.65000 -7.85000 0.10000"
26,0.0000,Tx-Rx,0,-49.5313,"-6.00000 -5.60000 0.90000, -2.35000 -7.85000 0.10000"
27,0.0000,Tx-Rx,0,-49.8204,"-6.00000 -5.60000 0.90000, -2.05000 -7.85000 0.10000"
28,0.0000,Tx-Rx,0,-50.9979,"-6.00000 -5.60000 0.90000, -1.75000 -7.85000 0.10000"
29,0.0000,Tx-Rx,0,-52.6844,"-6.00000 -5.60000 0.90000, -1.45000 -7.85000 0.10000"
30,0.0000,Tx-Rx,0,-52.5297,"-6.00000 -5.60000 0.90000, -1.15000 -7.85000 0.10000"
31,0.0000,Tx-Rx,0,-52.5107,"-6.00000 -5.60000 0.90000, -0.85000 -7.85000 0.10000"
32,0.0000,Tx-Rx,0,-52.3059,"-6.00000 -5.60000 0.90000, -0.55000 -7.85000 0.10000"
33,0.0000,Tx-Rx,0,-49.2447,"-6.00000 -5.60000 0.90000, -0.25000 -7.85000 0.10000"
34,0.0000,Tx-Rx,0,-54.0283,"-6.00000 -5.60000 0.90000, 0.05000 -7.85000 0.10000"
35,0.0000,Tx-Rx,0,-76.4526,"-6.00000 -5.60000 0.90000, 0.35000 -7.85000 0.10000"
36,0.0000,Tx-Rx,0,-76.6287,"-6.00000 -5.60000 0.90000, 0.65000 -7.85000 0.10000"
37,0.0000,Tx-Rx,0,-76.8636,"-6.00000 -5.60000 0.90000, 0.95000 -7.85000 0.10000"
38,0.0000,Tx-Rx,0,-76.9870,"-6.00000 -5.60000 0.90000, 1.25000 -7.85000 0.10000"
39,0.0000,Tx-Rx,0,-76.2932,"-6.00000 -5.60000 0.90000, 1.55000 -7.85000 0.10000"
40,0.0000,Tx-Rx,0,-76.1458,"-6.00000 -5.60000 0.90000, 1.85000 -7.85000 0.10000"
41,0.0000,Tx-Rx,0,-75.8029,"-6.00000 -5.60000 0.90000, 2.15000 -7.85000 0.10000"
42,0.0000,Tx-Rx,0,-75.2881,"-6.00000 -5.60000 0.90000, 2.45000 -7.85000 0.10000"
43,0.0000,Tx-Rx,0,-83.4529,"-6.00000 -5.60000 0.90000, 2.75000 -7.85000 0.10000"
44,0.0000,Tx-Rx,0,-83.6524,"-6.00000 -5.60000 0.90000, 3.05000 -7.85000 0.10000"
45,0.0000,Tx-Rx,0,-85.2377,"-6.00000 -5.60000 0.90000, 3.35000 -7.85000 0.10000"
46,0.0000,Tx-Rx,0,-86.0551,"-6.00000 -5.60000 0.90000, 3.65000 -7.85000 0.10000"
47,0.0000,Tx-Rx,0,-82.8907,"-6.00000 -5.60000 0.90000, 3.95000 -7.85000 0.10000"
48,0.0000,Tx-Rx,0,-80.8755,"-6.00000 -5.60000 0.90000, 4.25000 -7.85000 0.10000"
49,0.0000,Tx-Rx,0,-87.6351,"-6.00000 -5.60000 0.90000, 4.55000 -7.85000 0.10000"
50,0.0000,Tx-Rx,0,-83.6850,"-6.00000 -5.60000 0.90000, 4.85000 -7.85000 0.10000"
51,0.0000,Tx-Rx,0,-83.2183,"-6.00000 -5.60000 0.90000, 5.15000 -7.85000 0.10000"
52,0.0000,Tx-Rx,0,-80.1793,"-6.00000 -5.60000 0.90000, 5.45000 -7.85000 0.10000"
53,0.0000,Tx-Rx,0,-78.2970,"-6.00000 -5.60000 0.90000, 5.75000 -7.85000 0.10000"
54,0.0000,Tx-Rx,0,-81.1324,"-6.00000 -5.60000 0.90000, 6.05000 -7.85000 0.10000"
55,0.0000,Tx-Rx,0,-77.8010,"-6.00000 -5.60000 0.90000, 6.35000 -7.85000 0.10000"
56,0.0000,Tx-Rx,0,-78.4914,"-6.00000 -5.60000 0.90000, 6.65000 -7.85000 0.10000"
57,0.0000,Tx-Rx,0,-79.9984,"-6.00000 -5.60000 0.90000, 6.95000 -7.85000 0.10000"
58,0.0000,Tx-Rx,0,-79.6479,"-6.00000 -5.60000 0.90000, 7.25000 -7.85000 0.10000"
59,0.0000,Tx-Rx,0,-83.0984,"-6.00000 -5.60000 0.90000, 7.55000 -7.85000 0.10000"
60,0.0000,Tx-Rx,0,-78.6936,"-6.00000 -5.60000 0.90000, 7.85000 -7.85000 0.10000"
61,0.0000,Tx-Rx,0,-74.4961,"-6.00000 -5.60000 0.90000, -9.85000 -7.55000 0.10000"
62,0.0000,Tx-Rx,0,-73.9816,"-6.00000 -5.60000 0.90000, -9.55000 -7.55000 0.10000"
63,0.0000,Tx-Rx,0,-74.3046,"-6.00000 -5.60000 0.90000, -9.25000 -7.55000 0.10000"
64,0.0000,Tx-Rx,0,-79.3895,"-6.00000 -5.60000 0.90000, -8.95000 -7.55000 0.10000"
65,0.0000,Tx-Rx,0,-78.0316,"-6.00000 -5.60000 0.90000, -8.65000 -7.55000 0.10000"
66,0.0000,Tx-Rx,0,-80.5623,"-6.00000 -5.60000 0.90000, -8.35000 -7.55000 0.10000"
67,0.0000,Tx-Rx,0,-71.0982,"-6.00000 -5.60000 0.90000, -8.05000 -7.55000 0.10000"
68,0.0000,Tx-Rx,0,-64.3803,"-6.00000 -5.60000 0.90000, -7.75000 -7.55000 0.10000"
69,0.0000,Tx-Rx,0,-64.7118,"-6.00000 -5.60000 0.90000, -7.45000 -7.55000 0.10000"
70,0.0000,Tx-Rx,0,-62.8670,"-6.00000 -5.60000 0.90000, -7.15000 -7.55000 0.10000"
71,0.0000,Tx-Rx,0,-61.4548,"-6.00000 -5.60000 0.90000, -6.85000 -7.55000 0.10000"
72,0.0000,Tx-Rx,0,-60.8201,"-6.00000 -5.60000 0.90000, -6.55000 -7.55000 0.10000"
73,0.0000,Tx-Rx,0,-56.2778,"-6.00000 -5.60000 0.90000, -6.25000 -7.55000 0.10000"
74,0.0000,Tx-Rx,0,-53.2001,"-6.00000 -5.60000 0.90000, -5.95000 -7.55000 0.10000"
75,0.0000,Tx-Rx,0,-45.0239,"-6.00000 -5.60000 0.90000, -5.65000 -7.55000 0.10000"
76,0.0000,Tx-Rx,0,-44.5193,"-6.00000 -5.60000 0.90000, -5.35000 -7.55000 0.10000"
77,0.0000,Tx-Rx,0,-45.1496,"-6.00000 -5.60000 0.90000, -5.05000 -7.55000 0.10000"
78,0.0000,Tx-Rx,0,-45.5267,"-6.00000 -5.60000 0.90000, -4.75000 -7.55000 0.10000"
79,0.0000,Tx-Rx,0,-45.7046,"-6.00000 -5.60000 0.90000, -4.45000 -7.55000 0.10000"
80,0.0000,Tx-Rx,0,-46.3169,"-6.00000 -5.60000 0.90000, -4.15000 -7.55000 0.10000"
81,0.0000,Tx-Rx,0,-46.9409,"-6.00000 -5.60000 0.90000, -3.85000 -7.55000 0.10000"
82,0.0000,Tx-Rx,0,-47.3409,"-6.00000 -5.60000 0.90000, -3.55000 -7.55000 0.10000"
83,0.0000,Tx-Rx,0,-47.9335,"-6.00000 -5.60000 0.90000, -3.25000 -7.55000 0.10000"
84,0.0000,Tx-Rx,0,-48.4343,"-6.00000 -5.60000 0.90000, -2.95000 -7.55000 0.10000"
