Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-89.7901,"-3.90000 0.80000 1.00000, -9.85000 -7.85000 0.10000"
2,0.0000,Tx-Rx,0,-92.2650,"-3.90000 0.80000 1.00000, -9.55000 -7.85000 0.10000"
3,0.0000,Tx-Rx,0,-87.5162,"-3.90000 0.80000 1.00000, -9.25000 -7.85000 0.10000"
4,0.0000,Tx-Rx,0,-87.0312,"-3.90000 0.80000 1.00000, -8.95000 -7.85000 0.10000"
5,0.0000,Tx-Rx,0,-82.6028,"-3.90000 0.80000 1.00000, -8.65000 -7.85000 0.10000"
6,0.0000,Tx-Rx,0,-88.3339,"-3.90000 0.80000 1.00000, -8.35000 -7.85000 0.10000"
7,0.0000,Tx-Rx,0,-71.5413,"-3.90000 0.80000 1.00000, -8.05000 -7.85000 0.10000"
8,0.0000,Tx-Rx,0,-63.7716,"-3.90000 0.80000 1.00000, -7.75000 -7.85000 0.10000"
9,0.0000,Tx-Rx,0,-65.8786,"-3.90000 0.80000 1.00000, -7.45000 -7.85000 0.10000"
10,0.0000,Tx-Rx,0,-63.3097,"-3.90000 0.80000 1.00000, -7.15000 -7.85000 0.10000"
11,0.0000,Tx-Rx,0,-65.1620,"-3.90000 0.80000 1.00000, -6.85000 -7.85000 0.10000"
12,0.0000,Tx-Rx,0,-61.4261,"-3.90000 0.80000 1.00000, -6.55000 -7.85000 0.10000"
13,0.0000,Tx-Rx,0,-58.4128,"-3.90000 0.80000 1.00000, -6.25000 -7.85000 0.10000"
14,0.0000,Tx-Rx,0,-55.2768,"-3.90000 0.80000 1.00000, -5.95000 -7.85000 0.10000"
15,0.0000,Tx-Rx,0,-55.0071,"-3.90000 0.80000 1.00000, -5.65000 -7.85000 0.10000"
16,0.0000,Tx-Rx,0,-53.7574,"-3.90000 0.80000 1.00000, -5.35000 -7.85000 0.10000"
17,0.0000,Tx-Rx,0,-54.4647,"-3.90000 0.80000 1.00000, -5.05000 -7.85000 0.10000"
18,0.0000,Tx-Rx,0,-53.4615,"-3.90000 0.80000 1.00000, -4.75000 -7.85000 0.10000"
19,0.0000,Tx-Rx,0,-53.1411,"-3.90000 0.80000 1.00000, -4.45000 -7.85000 0.10000"
20,0.0000,Tx-Rx,0,-52.9590,"-3.90000 0.80000 1.00000, -4.15000 -7.85000 0.10000"
21,0.0000,Tx-Rx,0,-52.7677,"-3.90000 0.80000 1.00000, -3.85000 -7.85000 0.10000"
22,0.0000,Tx-Rx,0,-52.9948,"-3.90000 0.80000 1.00000, -3.55000 -7.85000 0.10000"
23,0.0000,Tx-Rx,0,-53.4568,"-3.90000 0.80000 1.00000, -3.25000 -7.85000 0.10000"
24,0.0000,Tx-Rx,0,-53.5154,"-3.90000 0.80000 1.00000, -2.95000 -7.85000 0.10000"
25,0.0000,Tx-Rx,0,-53.7937,"-3.90000 0.80000 1.00000, -2.65000 -7.85000 0.10000"
26,0.0000,Tx-Rx,0,-54.0562,"-3.90000 0.80000 1.00000, -2.35000 -7.85000 0.10000"
27,0.0000,Tx-Rx,0,-54.0757,"-3.90000 0.80000 1.00000, -2.05000 -7.85000 0.10000"
28,0.0000,Tx-Rx,0,-54.1088,"-3.90000 0.80000 1.00000, -1.75000 -7.85000 0.10000"
29,0.0000,Tx-Rx,0,-54.1176,"-3.90000 0.80000 1.00000, -1.45000 -7.85000 0.10000"
30,0.0000,Tx-Rx,0,-53.2880,"-3.90000 0.80000 1.00000, -1.15000 -7.85000 0.10000"
31,0.0000,Tx-Rx,0,-52.9357,"-3.90000 0.80000 1.00000, -0.85000 -7.85000 0.10000"
32,0.0000,Tx-Rx,0,-52.1894,"-3.90000 0.80000 1.00000, -0.55000 -7.85000 0.10000"
33,0.0000,Tx-Rx,0,-52.0203,"-3.90000 0.80000 1.00000, -0.25000 -7.85000 0.10000"
34,0.0000,Tx-Rx,0,-56.8770,"-3.90000 0.80000 1.00000, 0.05000 -7.85000 0.10000"
35,0.0000,Tx-Rx,0,-71.2769,"-3.90000 0.80000 1.00000, 0.35000 -7.85000 0.10000"
36,0.0000,Tx-Rx,0,-73.2053,"-3.90000 0.80000 1.00000, 0.65000 -7.85000 0.10000"
37,0.0000,Tx-Rx,0,-76.9242,"-3.90000 0.80000 1.00000, 0.95000 -7.85000 0.10000"
38,0.0000,Tx-Rx,0,-72.2135,"-3.90000 0.80000 1.00000, 1.25000 -7.85000 0.10000"
39,0.0000,Tx-Rx,0,-77.6151,"-3.90000 0.80000 1.00000, 1.55000 -7.85000 0.10000"
40,0.0000,Tx-Rx,0,-82.5980,"-3.90000 0.80000 1.00000, 1.85000 -7.85000 0.10000"
41,0.0000,Tx-Rx,0,-78.6547,"-3.90000 0.80000 1.00000, 2.15000 -7.85000 0.10000"
42,0.0000,Tx-Rx,0,-71.5955,"-3.90000 0.80000 1.00000, 2.45000 -7.85000 0.10000"
43,0.0000,Tx-Rx,0,-88.8987,"-3.90000 0.80000 1.00000, 2.75000 -7.85000 0.10000"
44,0.0000,Tx-Rx,0,-120.0000,"-3.90000 0.80000 1.00000, 3.05000 -7.85000 0.10000"
45,0.0000,Tx-Rx,0,-120.0000,"-3.90000 0.80000 1.00000, 3.35000 -7.85000 0.10000"
46,0.0000,Tx-Rx,0,-101.0244,"-3.90000 0.80000 1.00000, 3.65000 -7.85000 0.10000"
47,0.0000,Tx-Rx,0,-73.3186,"-3.90000 0.80000 1.00000, 3.95000 -7.85000 0.10000"
48,0.0000,Tx-Rx,0,-71.5740,"-3.90000 0.80000 1.00000, 4.25000 -7.85000 0.10000"
49,0.0000,Tx-Rx,0,-82.5205,"-3.90000 0.80000 1.00000, 4.55000 -7.85000 0.10000"
50,0.0000,Tx-Rx,0,-94.3232,"-3.90000 0.80000 1.00000, 4.85000 -7.85000 0.10000"
51,0.0000,Tx-Rx,0,-100.0286,"-3.90000 0.80000 1.00000, 5.15000 -7.85000 0.10000"
52,0.0000,Tx-Rx,0,-97.9284,"-3.90000 0.80000 1.00000, 5.45000 -7.85000 0.10000"
53,0.0000,Tx-Rx,0,-82.8735,"-3.90000 0.80000 1.00000, 5.75000 -7.85000 0.10000"
54,0.0000,Tx-Rx,0,-91.6775,"-3.90000 0.80000 1.00000, 6.05000 -7.85000 0.10000"
55,0.0000,Tx-Rx,0,-101.4772,"-3.90000 0.80000 1.00000, 6.35000 -7.85000 0.10000"
56,0.0000,Tx-Rx,0,-108.2514,"-3.90000 0.80000 1.00000, 6.65000 -7.85000 0.10000"
57,0.0000,Tx-Rx,0,-108.9604,"-3.90000 0.80000 1.00000, 6.95000 -7.85000 0.10000"
58,0.0000,Tx-Rx,0,-100.3233,"-3.90000 0.80000 1.00000, 7.25000 -7.85000 0.10000"
59,0.0000,Tx-Rx,0,-92.9838,"-3.90000 0.80000 1.00000, 7.55000 -7.85000 0.10000"
60,0.0000,Tx-Rx,0,-84.8162,"-3.90000 0.80000 1.00000, 7.85000 -7.85000 0.10000"
61,0.0000,Tx-Rx,0,-91.4193,"-3.90000 0.80000 1.00000, -9.85000 -7.55000 0.10000"
62,0.0000,Tx-Rx,0,-91.8122,"-3.90000 0.80000 1.00000, -9.55000 -7.55000 0.10000"
63,0.0000,Tx-Rx,0,-89.9523,"-3.90000 0.80000 1.00000, -9.25000 -7.55000 0.10000"
64,0.0000,Tx-Rx,0,-87.7294,"-3.90000 0.80000 1.00000, -8.95000 -7.55000 0.10000"
65,0.0000,Tx-Rx,0,-86.4225,"-3.90000 0.80000 1.00000, -8.65000 -7.55000 0.10000"
66,0.0000,Tx-Rx,0,-83.6946,"-3.90000 0.80000 1.00000, -8.35000 -7.55000 0.10000"
67,0.0000,Tx-Rx,0,-65.6982,"-3.90000 0.80000 1.00000, -8.05000 -7.55000 0.10000"
68,0.0000,Tx-Rx,0,-60.5137,"-3.90000 0.80000 1.00000, -7.75000 -7.55000 0.10000"
69,0.0000,Tx-Rx,0,-63.4026,"-3.90000 0.80000 1.00000, -7.45000 -7.55000 0.10000"
70,0.0000,Tx-Rx,0,-60.5686,"-3.90000 0.80000 1.00000, -7.15000 -7.55000 0.10000"
71,0.0000,Tx-Rx,0,-63.1923,"-3.90000 0.80000 1.00000, -6.85000 -7.55000 0.10000"
72,0.0000,Tx-Rx,0,-58.4480,"-3.90000 0.80000 1.00000, -6.55000 -7.55000 0.10000"
73,0.0000,Tx-Rx,0,-56.1541,"-3.90000 0.80000 1.00000, -6.25000 -7.55000 0.10000"
74,0.0000,Tx-Rx,0,-54.6268,"-3.90000 0.80000 1.00000, -5.95000 -7.55000 0.10000"
75,0.0000,Tx-Rx,0,-54.1239,"-3.90000 0.80000 1.00000, -5.65000 -7.55000 0.10000"
76,0.0000,Tx-Rx,0,-53.6437,"-3.90000 0.80000 1.00000, -5.35000 -7.55000 0.10000"
77,0.0000,Tx-Rx,0,-53.7091,"-3.90000 0.80000 1.00000, -5.05000 -7.55000 0.10000"
78,0.0000,Tx-Rx,0,-53.0916,"-3.90000 0.80000 1.00000, -4.75000 -7.55000 0.10000"
79,0.0000,Tx-Rx,0,-52.9166,"-3.90000 0.80000 1.00000, -4.45000 -7.55000 0.10000"
80,0.0000,Tx-Rx,0,-52.6000,"-3.90000 0.80000 1.00000, -4.15000 -7.55000 0.10000"
81,0.0000,Tx-Rx,0,-52.6834,"-3.90000 0.80000 1.00000, -3.85000 -7.55000 0.10000"
82,0.0000,Tx-Rx,0,-52.6649,"-3.90000 0.80000 1.00000, -3.55000 -7.55000 0.10000"
83,0.0000,Tx-Rx,0,-52.9687,"-3.90000 0.80000 1.00000, -3.25000 -7.55000 0.10000"
84,0.0000,Tx-Rx,0,-53.5807,"-3.90000 0.80000 1.00000, -2.95000 -7.55000 0.10000"
