Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-89.7901,"3.90000 1.00000 -0.80000, 9.85000 0.10000 7.85000"
2,0.0000,Tx-Rx,0,-92.2650,"3.90000 1.00000 -0.80000, 9.55000 0.10000 7.85000"
3,0.0000,Tx-Rx,0,-87.5162,"3.90000 1.00000 -0.80000, 9.25000 0.10000 7.85000"
4,0.0000,Tx-Rx,0,-87.0312,"3.90000 1.00000 -0.80000, 8.95000 0.10000 7.85000"
5,0.0000,Tx-Rx,0,-82.6028,"3.90000 1.00000 -0.80000, 8.65000 0.10000 7.85000"
6,0.0000,Tx-Rx,0,-88.3339,"3.90000 1.00000 -0.80000, 8.35000 0.10000 7.85000"
7,0.0000,Tx-Rx,0,-71.5413,"3.90000 1.00000 -0.80000, 8.05000 0.10000 7.85000"
8,0.0000,Tx-Rx,0,-63.7716,"3.90000 1.00000 -0.80000, 7.75000 0.10000 7.85000"
9,0.0000,Tx-Rx,0,-65.8786,"3.90000 1.00000 -0.80000, 7.45000 0.10000 7.85000"
10,0.0000,Tx-Rx,0,-63.3097,"3.90000 1.00000 -0.80000, 7.15000 0.10000 7.85000"
11,0.0000,Tx-Rx,0,-65.1619,"3.90000 1.00000 -0.80000, 6.85000 0.10000 7.85000"
12,0.0000,Tx-Rx,0,-61.4256,"3.90000 1.00000 -0.80000, 6.55000 0.10000 7.85000"
13,0.0000,Tx-Rx,0,-58.4145,"3.90000 1.00000 -0.80000, 6.25000 0.10000 7.85000"
14,0.0000,Tx-Rx,0,-55.2771,"3.90000 1.00000 -0.80000, 5.95000 0.10000 7.85000"
15,0.0000,Tx-Rx,0,-55.0072,"3.90000 1.00000 -0.80000, 5.65000 0.10000 7.85000"
16,0.0000,Tx-Rx,0,-53.7575,"3.90000 1.00000 -0.80000, 5.35000 0.10000 7.85000"
17,0.0000,Tx-Rx,0,-54.4650,"3.90000 1.00000 -0.80000, 5.05000 0.10000 7.85000"
18,0.0000,Tx-Rx,0,-53.4608,"3.90000 1.00000 -0.80000, 4.75000 0.10000 7.85000"
19,0.0000,Tx-Rx,0,-53.1400,"3.90000 1.00000 -0.80000, 4.45000 0.10000 7.85000"
20,0.0000,Tx-Rx,0,-52.9602,"3.90000 1.00000 -0.80000, 4.15000 0.10000 7.85000"
21,0.0000,Tx-Rx,0,-52.7675,"3.90000 1.00000 -0.80000, 3.85000 0.10000 7.85000"
22,0.0000,Tx-Rx,0,-52.9944,"3.90000 1.00000 -0.80000, 3.55000 0.10000 7.85000"
23,0.0000,Tx-Rx,0,-53.4566,"3.90000 1.00000 -0.80000, 3.25000 0.10000 7.85000"
24,0.0000,Tx-Rx,0,-53.5152,"3.90000 1.00000 -0.80000, 2.95000 0.10000 7.85000"
25,0.0000,Tx-Rx,0,-53.7937,"3.90000 1.00000 -0.80000, 2.65000 0.10000 7.85000"
26,0.0000,Tx-Rx,0,-54.0566,"3.90000 1.00000 -0.80000, 2.35000 0.10000 7.85000"
27,0.0000,Tx-Rx,0,-54.0753,"3.90000 1.00000 -0.80000, 2.05000 0.10000 7.85000"
28,0.0000,Tx-Rx,0,-54.1087,"3.90000 1.00000 -0.80000, 1.75000 0.10000 7.85000"
29,0.0000,Tx-Rx,0,-54.1176,"3.90000 1.00000 -0.80000, 1.45000 0.10000 7.85000"
30,0.0000,Tx-Rx,0,-53.2881,"3.90000 1.00000 -0.80000, 1.15000 0.10000 7.85000"
31,0.0000,Tx-Rx,0,-52.9358,"3.90000 1.00000 -0.80000, 0.85000 0.10000 7.85000"
32,0.0000,Tx-Rx,0,-52.1893,"3.90000 1.00000 -0.80000, 0.55000 0.10000 7.85000"
33,0.0000,Tx-Rx,0,-52.0207,"3.90000 1.00000 -0.80000, 0.25000 0.10000 7.85000"
34,0.0000,Tx-Rx,0,-56.8771,"3.90000 1.00000 -0.80000, -0.05000 0.10000 7.85000"
35,0.0000,Tx-Rx,0,-71.2768,"3.90000 1.00000 -0.80000, -0.35000 0.10000 7.85000"
36,0.0000,Tx-Rx,0,-73.2062,"3.90000 1.00000 -0.80000, -0.65000 0.10000 7.85000"
37,0.0000,Tx-Rx,0,-76.9249,"3.90000 1.00000 -0.80000, -0.95000 0.10000 7.85000"
38,0.0000,Tx-Rx,0,-72.2142,"3.90000 1.00000 -0.80000, -1.25000 0.10000 7.85000"
39,0.0000,Tx-Rx,0,-77.6151,"3.90000 1.00000 -0.80000, -1.55000 0.10000 7.85000"
40,0.0000,Tx-Rx,0,-82.5922,"3.90000 1.00000 -0.80000, -1.85000 0.10000 7.85000"
41,0.0000,Tx-Rx,0,-78.6565,"3.90000 1.00000 -0.80000, -2.15000 0.10000 7.85000"
42,0.0000,Tx-Rx,0,-71.5968,"3.90000 1.00000 -0.80000, -2.45000 0.10000 7.85000"
43,0.0000,Tx-Rx,0,-88.8987,"3.90000 1.00000 -0.80000, -2.75000 0.10000 7.85000"
44,0.0000,Tx-Rx,0,-120.0000,"3.90000 1.00000 -0.80000, -3.05000 0.10000 7.85000"
45,0.0000,Tx-Rx,0,-120.0000,"3.90000 1.00000 -0.80000, -3.35000 0.10000 7.85000"
46,0.0000,Tx-Rx,0,-101.0244,"3.90000 1.00000 -0.80000, -3.65000 0.10000 7.85000"
47,0.0000,Tx-Rx,0,-73.3186,"3.90000 1.00000 -0.80000, -3.95000 0.10000 7.85000"
48,0.0000,Tx-Rx,0,-71.5740,"3.90000 1.00000 -0.80000, -4.25000 0.10000 7.85000"
49,0.0000,Tx-Rx,0,-82.5205,"3.90000 1.00000 -0.80000, -4.55000 0.10000 7.85000"
50,0.0000,Tx-Rx,0,-94.3232,"3.90000 1.00000 -0.80000, -4.85000 0.10000 7.85000"
51,0.0000,Tx-Rx,0,-100.0286,"3.90000 1.00000 -0.80000, -5.15000 0.10000 7.85000"
52,0.0000,Tx-Rx,0,-97.6838,"3.90000 1.00000 -0.80000, -5.45000 0.10000 7.85000"
53,0.0000,Tx-Rx,0,-82.6431,"3.90000 1.00000 -0.80000, -5.75000 0.10000 7.85000"
54,0.0000,Tx-Rx,0,-88.7383,"3.90000 1.00000 -0.80000, -6.05000 0.10000 7.85000"
55,0.0000,Tx-Rx,0,-91.5091,"3.90000 1.00000 -0.80000, -6.35000 0.10000 7.85000"
56,0.0000,Tx-Rx,0,-91.8699,"3.90000 1.00000 -0.80000, -6.65000 0.10000 7.85000"
57,0.0000,Tx-Rx,0,-92.5960,"3.90000 1.00000 -0.80000, -6.95000 0.10000 7.85000"
58,0.0000,Tx-Rx,0,-90.7696,"3.90000 1.00000 -0.80000, -7.25000 0.10000 7.85000"
59,0.0000,Tx-Rx,0,-88.2794,"3.90000 1.00000 -0.80000, -7.55000 0.10000 7.85000"
60,0.0000,Tx-Rx,0,-83.9837,"3.90000 1.00000 -0.80000, -7.85000 0.10000 7.85000"
61,0.0000,Tx-Rx,0,-91.4193,"3.90000 1.00000 -0.80000, 9.85000 0.10000 7.55000"
62,0.0000,Tx-Rx,0,-91.8122,"3.90000 1.00000 -0.80000, 9.55000 0.10000 7.55000"
63,0.0000,Tx-Rx,0,-89.9523,"3.90000 1.00000 -0.80000, 9.25000 0.10000 7.55000"
64,0.0000,Tx-Rx,0,-87.7294,"3.90000 1.00000 -0.80000, 8.95000 0.10000 7.55000"
65,0.0000,Tx-Rx,0,-86.4225,"3.90000 1.00000 -0.80000, 8.65000 0.10000 7.55000"
66,0.0000,Tx-Rx,0,-83.6946,"3.90000 1.00000 -0.80000, 8.35000 0.10000 7.55000"
67,0.0000,Tx-Rx,0,-65.6982,"3.90000 1.00000 -0.80000, 8.05000 0.10000 7.55000"
68,0.0000,Tx-Rx,0,-60.5137,"3.90000 1.00000 -0.80000, 7.75000 0.10000 7.55000"
69,0.0000,Tx-Rx,0,-63.4026,"3.90000 1.00000 -0.80000, 7.45000 0.10000 7.55000"
70,0.0000,Tx-Rx,0,-60.5686,"3.90000 1.00000 -0.80000, 7.15000 0.10000 7.55000"
