Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.95000 1.10000 7.95000"
2,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.85000 1.10000 7.95000"
3,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.75000 1.10000 7.95000"
4,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.65000 1.10000 7.95000"
5,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.55000 1.10000 7.95000"
6,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.45000 1.10000 7.95000"
7,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.35000 1.10000 7.95000"
8,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.25000 1.10000 7.95000"
9,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.15000 1.10000 7.95000"
10,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 9.05000 1.10000 7.95000"
11,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.95000 1.10000 7.95000"
12,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.85000 1.10000 7.95000"
13,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.75000 1.10000 7.95000"
14,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.65000 1.10000 7.95000"
15,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.55000 1.10000 7.95000"
16,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.45000 1.10000 7.95000"
17,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.35000 1.10000 7.95000"
18,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.25000 1.10000 7.95000"
19,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.15000 1.10000 7.95000"
20,0.0000,Tx-Rx,0,-120.0000,"-7.60000 1.25000 -2.30000, 8.05000 1.10000 7.95000"
21,0.0000,Tx-Rx,0,-89.3848,"-7.60000 1.25000 -2.30000, 7.95000 1.10000 7.95000"
22,0.0000,Tx-Rx,0,-94.0578,"-7.60000 1.25000 -2.30000, 7.85000 1.10000 7.95000"
23,0.0000,Tx-Rx,0,-92.1109,"-7.60000 1.25000 -2.30000, 7.75000 1.10000 7.95000"
24,0.0000,Tx-Rx,0,-78.0206,"-7.60000 1.25000 -2.30000, 7.65000 1.10000 7.95000"
25,0.0000,Tx-Rx,0,-88.4674,"-7.60000 1.25000 -2.30000, 7.55000 1.10000 7.95000"
26,0.0000,Tx-Rx,0,-82.3897,"-7.60000 1.25000 -2.30000, 7.45000 1.10000 7.95000"
27,0.0000,Tx-Rx,0,-84.1520,"-7.60000 1.25000 -2.30000, 7.35000 1.10000 7.95000"
28,0.0000,Tx-Rx,0,-81.6253,"-7.60000 1.25000 -2.30000, 7.25000 1.10000 7.95000"
29,0.0000,Tx-Rx,0,-83.9118,"-7.60000 1.25000 -2.30000, 7.15000 1.10000 7.95000"
30,0.0000,Tx-Rx,0,-77.2704,"-7.60000 1.25000 -2.30000, 7.05000 1.10000 7.95000"
31,0.0000,Tx-Rx,0,-76.9879,"-7.60000 1.25000 -2.30000, 6.95000 1.10000 7.95000"
32,0.0000,Tx-Rx,0,-81.3912,"-7.60000 1.25000 -2.30000, 6.85000 1.10000 7.95000"
33,0.0000,Tx-Rx,0,-79.8083,"-7.60000 1.25000 -2.30000, 6.75000 1.10000 7.95000"
34,0.0000,Tx-Rx,0,-80.5453,"-7.60000 1.25000 -2.30000, 6.65000 1.10000 7.95000"
